feature_names,importance
volume_imbalance_mean_450,289.62454801797867
bid_spread_mean_300,358.0991552233696
ask_spread_mean_450,398.28292867541313
wap_balance_mean_450,431.4904444873333
ask_spread_mean_300,455.31165301799774
bid_spread_mean_450,485.6024502366781
trade_order_count_mean_300,512.4735122859478
ask_spread_mean,543.4570440024138
volume_imbalance_mean_300,584.6747513562441
trade_size_sum,614.9657819449901
trade_size_sum_450,643.6761125832796
total_volume_mean_450,672.6613631993532
wap_balance_mean_300,708.641060641408
trade_size_sum_300,745.2648681551218
trade_order_count_mean_450,794.4665665000678
trade_order_count_mean,872.3824131786823
volume_imbalance_mean,927.6187111854554
total_volume_mean,1026.7788101673127
price_spread_mean_300,1083.3064084678888
trade_log_return_realized_volatility_300,1137.9879532545806
bid_spread_mean,1194.816842314601
trade_log_return_realized_volatility_450,1272.1445167541503
total_volume_mean_300,1323.194066399336
trade_seconds_in_bucket_count_unique_300,1371.3752088576555
price_spread_mean_450,1427.872634217143
stock_id_target_enc,1474.501081737876
wap_balance_mean,1602.4880665808917
trade_log_return_realized_volatility,1684.6207682818174
trade_seconds_in_bucket_count_unique_450,1839.1348803162575
trade_seconds_in_bucket_count_unique,2118.442934346199
log_return_realized_volatility_450,2335.390427044034
wap_mean_450,2669.2500343799593
log_return2_realized_volatility_450,3158.3913863569496
wap_mean_300,5474.319581311941
price_spread_mean,6181.190429362655
wap_mean,7660.059222632646
log_return_realized_volatility_300,17778.37780312896
stock_id,44818.096731722355
log_return_realized_volatility,59642.77061571479
log_return2_realized_volatility_300,94743.99479046464
log_return2_realized_volatility,271375.6353634417
